stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
ALT;18711101;-;-;-;960.7;53.4;-;2.9;-;-;-
ALT;18711201;-;-;-;968.5;7.7;-;-5.6;-;-;-
ALT;18720101;-;-;-;960.3;31.4;-;2.3;-;-;-
ALT;18720201;-;-;-;965.7;64.2;-;2.1;-;-;-
ALT;18720301;-;-;-;961.9;90.7;-;6.8;-;-;-
ALT;18720401;-;-;-;962.6;163.7;-;10.4;-;-;-
ALT;18720501;-;-;-;963.8;254.7;-;12.9;-;-;-
ALT;18720601;-;-;-;967.3;173.2;-;15.7;-;-;-
ALT;18720701;-;-;-;967.6;164.2;-;18.6;-;-;-
ALT;18720801;-;-;-;967.5;207.9;-;16;-;-;-
ALT;18720901;-;-;-;967.8;54.8;-;15.1;-;-;-
ALT;18721001;-;-;-;961.5;240.9;-;12.3;-;-;-
ALT;18721101;-;-;-;963.4;63.2;-;7.9;-;-;-
ALT;18721201;-;-;-;959.2;127.4;-;5.7;-;-;-
ALT;18730101;-;-;-;964.2;21.7;-;2.4;-;-;-
ALT;18730201;-;-;-;964.6;24;-;1.7;-;-;-
ALT;18730301;-;-;-;958.8;57.2;-;7.9;-;-;-
ALT;18730401;-;-;-;959.5;130;-;8.2;-;-;-
ALT;18730501;-;-;-;963.3;145.8;-;11.2;-;-;-
ALT;18730601;-;-;-;965.3;68.6;-;17.1;-;-;-
ALT;18730701;-;-;-;967.8;219.6;-;19.9;-;-;-
ALT;18730801;-;-;-;968.1;190.9;-;19;-;-;-
ALT;18730901;-;-;-;966.6;137.4;-;14.2;-;-;-
ALT;18731001;-;-;-;963.1;212.1;-;10.2;-;-;-
ALT;18731101;-;-;-;962;76.5;-;5.8;-;-;-
ALT;18731201;-;-;-;973.2;55.8;-;-0.1;-;-;-
ALT;18740101;-;-;-;970.8;14.4;-;0.5;-;-;-
ALT;18740201;-;-;-;966.5;28.9;-;1.6;-;-;-
ALT;18740301;-;-;-;970.4;44.7;-;4.4;-;-;-
ALT;18740401;-;-;-;960.8;112.9;-;11;-;-;-
ALT;18740501;-;-;-;960.6;114.3;-;10.3;-;-;-
ALT;18740601;-;-;-;967.4;201.9;-;17.3;-;-;-
ALT;18740701;-;-;-;967;291.4;-;20.3;-;-;-
ALT;18740801;-;-;-;966.3;207.5;-;16.9;-;-;-
ALT;18740901;-;-;-;967.6;48.9;-;17;-;-;-
ALT;18741001;-;-;-;966.3;65.5;-;10.3;-;-;-
ALT;18741101;-;-;-;962.5;276.6;-;1.7;-;-;-
ALT;18741201;-;-;-;954.8;77.8;-;-0.3;-;-;-
ALT;18750101;-;-;-;967.9;129.2;-;1.8;-;-;-
ALT;18750201;-;-;-;960.8;49.9;-;-1;-;-;-
ALT;18750301;-;-;-;965.5;50;-;3.4;-;-;-
ALT;18750401;-;-;-;-;39.9;-;9.6;-;-;-
ALT;18750501;-;-;-;-;95.2;-;15.1;-;-;-
ALT;18750601;-;-;-;964.2;130.7;-;17.8;-;-;-
ALT;18750701;-;-;-;-;190;-;17.4;-;-;-
ALT;18750801;-;-;-;-;165;-;18.9;-;-;-
ALT;18750901;-;-;-;-;170;-;16.1;-;-;-
ALT;18751001;-;-;-;-;200;-;9;-;-;-
ALT;18751101;-;-;-;-;130;-;4;-;-;-
ALT;18751201;-;-;-;-;25;-;-1.5;-;-;-
ALT;18760101;-;-;-;970.9;59.5;-;-0.4;-;-;-
ALT;18760201;-;-;-;961.9;169.6;-;2.2;-;-;-
ALT;18760301;-;-;-;954.5;187.6;-;5.7;-;-;-
ALT;18760401;-;-;-;960;128.1;-;10;-;-;-
ALT;18760501;-;-;-;962.6;121.7;-;10.4;-;-;-
ALT;18760601;-;-;-;962.3;264.3;-;16.5;-;-;-
ALT;18760701;-;-;-;967.2;115.9;-;18.7;-;-;-
ALT;18760801;-;-;-;964.7;161.8;-;18.6;-;-;-
ALT;18760901;-;-;-;962.8;167.8;-;13.6;-;-;-
ALT;18761001;-;-;-;963.5;21.1;-;12.4;-;-;-
ALT;18761101;-;-;-;962.3;89.5;-;3.7;-;-;-
ALT;18761201;-;-;-;955.5;66.5;-;4.8;-;-;-
ALT;18770101;-;-;-;965.9;74.4;-;4.6;-;-;-
ALT;18770201;-;-;-;964.3;180.7;-;3.8;-;-;-
ALT;18770301;-;-;-;956.1;78;-;4.2;-;-;-
ALT;18770401;-;-;-;-;86.5;-;9.1;-;-;-
ALT;18770501;-;-;-;960;104.5;-;11.4;-;-;-
ALT;18770601;-;-;-;966.4;119.2;-;19.5;-;-;-
ALT;18770701;-;-;-;965.7;249.2;-;17.9;-;-;-
ALT;18770801;-;-;-;964.7;128.3;-;19.3;-;-;-
ALT;18770901;-;-;-;965;40.7;-;13.2;-;-;-
ALT;18771001;-;-;-;967;73.1;-;7.6;-;-;-
ALT;18771101;-;-;-;961.8;114.7;-;6;-;-;-
ALT;18771201;-;-;-;965.7;113.7;-;1.2;-;-;-
ALT;18780101;-;-;-;968.4;60.5;-;-1.6;-;-;-
ALT;18780201;-;-;-;973.6;16.9;-;0.9;-;-;-
ALT;18780301;-;-;-;964;159.9;-;3.8;-;-;-
ALT;18780401;-;-;-;959.4;96.6;-;9.6;-;-;-
ALT;18780501;-;-;-;961.1;97.4;-;14.7;-;-;-
ALT;18780601;-;-;-;963.7;151.7;-;16.4;-;-;-
ALT;18780701;-;-;-;964.6;202.3;-;17.3;-;-;-
ALT;18780801;-;-;-;961.2;137.7;-;17.9;-;-;-
ALT;18780901;-;-;-;965;112;-;14.5;-;-;-
ALT;18781001;-;-;-;962;99.9;-;11.3;-;-;-
ALT;18781101;-;-;-;957.1;98.6;-;4.7;-;-;-
ALT;18781201;-;-;-;956.2;70.8;-;-0.9;-;-;-
ALT;18790101;-;-;-;962.4;45;-;1.3;-;-;-
ALT;18790201;-;-;-;951.6;67.5;-;3.3;-;-;-
ALT;18790301;-;-;-;963;32.7;-;6.2;-;-;-
ALT;18790401;-;-;-;952.8;136.5;-;8.2;-;-;-
ALT;18790501;-;-;-;961.2;128;-;9.9;-;-;-
ALT;18790601;-;-;-;963.7;125.5;-;16.9;-;-;-
ALT;18790701;-;-;-;963.2;195.1;-;15.6;-;-;-
ALT;18790801;-;-;-;964.1;134.8;-;19.5;-;-;-
ALT;18790901;-;-;-;965;140.3;-;14.6;-;-;-
ALT;18791001;-;-;-;967.1;90.2;-;8.2;-;-;-
ALT;18791101;-;-;-;966;117.8;-;2.3;-;-;-
ALT;18791201;-;-;-;972.6;33.1;-;-4.8;-;-;-
ALT;18800101;-;-;-;973.9;21.7;-;-3.2;-;-;-
ALT;18800201;-;-;-;963.8;25.6;-;1.9;-;-;-
ALT;18800301;-;-;-;967.1;50.4;-;7;-;-;-
ALT;18800401;-;-;-;959;105.3;-;10.2;-;-;-
ALT;18800501;-;-;-;961.6;37.8;-;12.2;-;-;-
ALT;18800601;-;-;-;962.3;151.9;-;15.1;-;-;-
ALT;18800701;-;-;-;964.7;144.8;-;19;-;-;-
ALT;18800801;-;-;-;962.4;139.4;-;16.8;-;-;-
ALT;18800901;-;-;-;966.4;115.7;-;15.2;-;-;-
ALT;18801001;-;-;-;961.6;187.5;-;10.7;-;-;-
ALT;18801101;-;-;-;965.5;44.3;-;5.9;-;-;-
ALT;18801201;-;-;-;966.6;108.2;-;4.9;-;-;-
ALT;18810101;-;-;-;958.3;28;-;-0.7;-;-;-
ALT;18810201;-;-;-;960.2;54.4;-;2.9;-;-;-
ALT;18810301;-;-;-;962.7;66.7;-;6.7;-;-;-
ALT;18810401;-;-;-;959.4;97.9;-;8.7;-;-;-
ALT;18810501;-;-;-;965.3;69.4;-;12.7;-;-;-
ALT;18810601;-;-;-;963.8;137.1;-;15.9;-;-;-
ALT;18810701;-;-;-;966.8;119.3;-;20.5;-;-;-
ALT;18810801;-;-;-;963.6;210.4;-;18.4;-;-;-
ALT;18810901;-;-;-;964;190.1;-;13.2;-;-;-
ALT;18811001;-;-;-;961.2;88.9;-;7.3;-;-;-
ALT;18811101;-;-;-;970.4;22.8;-;5.9;-;-;-
ALT;18811201;-;-;-;967.2;52.5;-;0.9;-;-;-
ALT;18820101;-;-;-;978.3;21.7;-;0;-;-;-
ALT;18820201;-;-;-;973.2;22.3;-;1.4;-;-;-
ALT;18820301;-;-;-;966.7;44.5;-;6.9;-;-;-
ALT;18820401;-;-;-;959.7;73.6;-;9.3;-;-;-
ALT;18820501;-;-;-;962.6;85.4;-;13.8;-;-;-
ALT;18820601;-;-;-;962.4;172.9;-;15.2;-;-;-
ALT;18820701;-;-;-;961.7;154;-;16.6;-;-;-
ALT;18820801;-;-;-;961.8;127.4;-;15.9;-;-;-
ALT;18820901;-;-;-;958.4;274.8;-;12.8;-;-;-
ALT;18821001;-;-;-;959.9;159.7;-;10.7;-;-;-
ALT;18821101;-;-;-;957.5;108.7;-;5.6;-;-;-
ALT;18821201;-;-;-;956.2;185.3;-;2.7;-;-;-
ALT;18830101;-;-;-;962.1;45.5;-;2.9;-;-;-
ALT;18830201;-;-;-;969;21.1;-;4.7;-;-;-
ALT;18830301;-;-;-;954.6;38.1;-;2.1;-;-;-
ALT;18830401;-;-;-;958.9;33.3;-;9.2;-;-;-
ALT;18830501;-;-;-;959.7;136;-;13.4;-;-;-
ALT;18830601;-;-;-;961.4;120.8;-;15.7;-;-;-
ALT;18830701;-;-;-;962.1;139.8;-;16.8;-;-;-
ALT;18830801;-;-;-;965.1;70.7;-;17;-;-;-
ALT;18830901;-;-;-;960.9;91.6;-;14.2;-;-;-
ALT;18831001;-;-;-;964.2;90;-;8.5;-;-;-
ALT;18831101;-;-;-;962.9;83.6;-;5;-;-;-
ALT;18831201;-;-;-;965.3;148;-;0.2;-;-;-
ALT;18840101;-;-;-;968.9;31.3;-;2.2;-;-;-
ALT;18840201;-;-;-;962.4;23.8;-;4.4;-;-;-
ALT;18840301;-;-;-;959.4;19.1;-;7.4;-;-;-
ALT;18840401;-;-;-;951.7;65.8;-;9.1;-;-;-
ALT;18840501;-;-;-;961.7;69;-;14.7;-;-;-
ALT;18840601;-;-;-;960;147;-;13.4;-;-;-
ALT;18840701;-;-;-;962.4;130.9;-;18.9;-;-;-
ALT;18840801;-;-;-;962.5;132.2;-;18.1;-;-;-
ALT;18840901;-;-;-;964;83.7;-;15.2;-;-;-
ALT;18841001;-;-;-;963.6;66.5;-;8.9;-;-;-
ALT;18841101;-;-;-;965.5;29.9;-;3;-;-;-
ALT;18841201;-;-;-;959.2;76.4;-;1.9;-;-;-
ALT;18850101;-;-;-;959.9;7.3;-;-1.3;-;-;-
ALT;18850201;-;-;-;959.4;45.3;-;6;-;-;-
ALT;18850301;-;-;-;959.3;27.7;-;5.4;-;-;-
ALT;18850401;-;-;-;952.8;49;-;10.7;-;-;-
ALT;18850501;-;-;-;958.4;148.5;-;10.9;-;-;-
ALT;18850601;-;-;-;961.4;46.4;-;18.3;-;-;-
ALT;18850701;-;-;-;964.6;93.9;-;19.4;-;-;-
ALT;18850801;-;-;-;959.7;140.8;-;17.7;-;-;-
ALT;18850901;-;-;-;961.9;170;-;14.1;-;-;-
ALT;18851001;-;-;-;955.5;203.1;-;8.4;-;-;-
ALT;18851101;-;-;-;958.9;97.9;-;5;-;-;-
ALT;18851201;-;-;-;967;104.8;-;0.2;-;-;-
ALT;18860101;-;-;-;952.9;49.5;-;0.3;-;-;-
ALT;18860201;-;-;-;961.2;50.5;-;-0.6;-;-;-
ALT;18860301;-;-;-;960.4;31.9;-;4.1;-;-;-
ALT;18860401;-;-;-;957.9;101.2;-;11;-;-;-
ALT;18860501;-;-;-;961.1;109;-;14.3;-;-;-
ALT;18860601;-;-;-;958.9;205.1;-;14.7;-;-;-
ALT;18860701;-;-;-;961.7;147.2;-;18.7;-;-;-
ALT;18860801;-;-;-;962;176;-;17.6;-;-;-
ALT;18860901;-;-;-;963.8;48;-;16.7;-;-;-
ALT;18861001;-;-;-;959.6;82.9;-;11.1;-;-;-
ALT;18861101;-;-;-;960.9;138.2;-;5.3;-;-;-
ALT;18861201;-;-;-;954.3;105.8;-;2.5;-;-;-
ALT;18870101;-;-;-;963.1;12.1;-;-2.1;-;-;-
ALT;18870201;-;-;-;968.9;11.2;-;0.1;-;-;-
ALT;18870301;-;-;-;960.8;98.9;-;2.3;-;-;-
ALT;18870401;-;-;-;957.8;49.9;-;9;-;-;-
ALT;18870501;-;-;-;959.2;168.2;-;10.8;-;-;-
ALT;18870601;-;-;-;964;80.2;-;17.4;-;-;-
ALT;18870701;-;-;-;963.2;120.1;-;19.5;-;-;-
ALT;18870801;-;-;-;961.4;129.8;-;17.7;-;-;-
ALT;18870901;-;-;-;960.6;98.4;-;13.8;-;-;-
ALT;18871001;-;-;-;961.7;86.5;-;6.2;-;-;-
ALT;18871101;-;-;-;953.4;25.4;-;5.1;-;-;-
ALT;18871201;-;-;-;957.5;139.7;-;0.3;-;-;-
